, a,b,c,d,d͡ʒ,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,t͡ʃ,u,v,y,z,æ,ø,ɟ,ɡ,ɯ,ɾ,ʃ,ʎ,ʒ,ʤ
syl,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,-,+,-,-,-,-,-
cons,-,+,+,+,+,-,+,+,-,-,-,+,+,+,+,-,+,+,+,+,+,-,+,-,+,-,-,+,+,-,+,+,+,+,+
son,+,-,-,-,-,+,-,-,-,+,-,-,+,+,+,+,-,+,-,-,-,+,-,+,-,+,+,-,-,+,+,-,+,-,-
cont,+,-,-,-,-,+,+,-,+,+,+,-,+,-,-,+,-,+,+,-,-,+,+,+,+,+,+,-,-,+,-,+,+,+,-
voi,+,+,-,+,+,+,-,+,-,+,+,-,+,+,+,+,-,+,-,-,-,+,+,+,+,+,+,+,+,+,+,-,+,+,+
hi,-,-,+,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,+,+,-,-,+,-,-
lo,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-
back,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-
round,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-
